"TE","NP","NU","NR"
"7322082400",,"ВОВЧИНЕЦЬКА/С.ВОВЧИНЕЦЬ","ВОЛЧИНЕЦКИЙ/С.ВОЛЧИНЕЦ"
"7322082401","С","ВОВЧИНЕЦЬ","ВОЛЧИНЕЦ"
"7322082800",,"ВОРОНОВИЦЬКА/С.ВОРОНОВИЦЯ","ВОРОНОВИЦКИЙ/С.ВОРОНОВИЦА"
"7322082801","С","ВОРОНОВИЦЯ","ВОРОНОВИЦА"
"7322083200",,"ГРУШОВЕЦЬКА/С.ГРУШІВЦІ","ГРУШЕВЕЦКИЙ/С.ГРУШЕВЦЫ"
"7322083201","С","ГРУШІВЦІ","ГРУШЕВЦЫ"
"7322083202","С","НАГОРЯНИ","НАГОРЯНЫ"
"7322083600",,"ДНІСТРІВСЬКА/С.ДНІСТРІВКА","ДНЕСТРОВСКИЙ/С.ДНЕСТРОВКА"
"7322083601","С","ДНІСТРІВКА","ДНЕСТРОВКА"
"7322084000",,"ЗЕЛЕНЕЦЬКА/С.ЗЕЛЕНА","ЗЕЛЕНЕЦКИЙ/С.ЗЕЛЕНАЯ"
"7322084001","С","ЗЕЛЕНА","ЗЕЛЕНАЯ"
"7322084400",,"ІВАНОВЕЦЬКА/С.ІВАНІВЦІ","ИВАНОВЕЦКИЙ/С.ИВАНОВЦЫ"
"7322084401","С","ІВАНІВЦІ","ИВАНОВЦЫ"
"7322084800",,"КОЗИРЯНСЬКА/С.КОЗИРЯНИ","КОЗЫРЯНСКИЙ/С.КОЗЫРЯНЫ"
"7322084801","С","КОЗИРЯНИ","КОЗЫРЯНЫ"
"7322085200",,"КОМАРІВСЬКА/С.КОМАРІВ","КОМАРОВСКИЙ/С.КОМАРОВ"
"7322085201","С","КОМАРІВ","КОМАРОВ"
"7322085202","С","МАЙОРКА","МАЙОРКА"
"7322085400",,"КОНОВСЬКА/С.КОНОВКА","КОНОВСКИЙ/С.КОНОВКА"
"7322085401","С","КОНОВКА","КОНОВКА"
"7322085600",,"ЛІВИНЕЦЬКА/С.ЛІВИНЦІ","ЛЕВИНЕЦКИЙ/С.ЛЕВИНЦЫ"
"7322085601","С","ЛІВИНЦІ","ЛЕВИНЦЫ"
"7322085602","С","МИХАЙЛІВКА","МИХАЙЛОВКА"
"7322086000",,"ЛЕНКОВЕЦЬКА/С.ЛЕНКІВЦІ","ЛЕНКОВЕЦКИЙ/С.ЛЕНКОВЦЫ"
"7322086001","С","ЛЕНКІВЦІ","ЛЕНКОВЦЫ"
"7322086003","С","МАКАРІВКА","МАКАРОВКА"
"7322086200",,"ЛУКАЧІВСЬКА/С.ЛУКАЧІВКА","ЛУКАЧЕВСКИЙ/С.ЛУКАЧЕВКА"
"7322086201","С","ЛУКАЧІВКА","ЛУКАЧЕВКА"
"7322086400",,"МОШАНЕЦЬКА/С.МОШАНЕЦЬ","МОШАНЕЦКИЙ/С.МОШАНЕЦ"
"7322086401","С","МОШАНЕЦЬ","МОШАНЕЦ"
"7322086800",,"НЕЛИПОВЕЦЬКА/С.НЕЛИПІВЦІ","НЕЛИПОВЕЦКИЙ/С.НЕЛИПОВЦЫ"
"7322086801","С","НЕЛИПІВЦІ","НЕЛИПОВЦЫ"
"7322086802","С","БРАЇЛІВКА","БРАИЛОВКА"
"7322087200",,"НОВОСЕЛИЦЬКА/С.НОВОСЕЛИЦЯ","НОВОСЕЛИЦКИЙ/С.НОВОСЕЛИЦА"
"7322087201","С","НОВОСЕЛИЦЯ","НОВОСЕЛИЦА"
"7322087600",,"ОСЕЛІВСЬКА/С.ОСЕЛІВКА","ОСЕЛЕВСКИЙ/С.ОСЕЛЕВКА"
"7322087601","С","ОСЕЛІВКА","ОСЕЛЕВКА"
"7322087602","С","КРОКВА","КРОКВА"
"7322088000",,"ПЕРКОВЕЦЬКА/С.ПЕРКІВЦІ","ПЕРКОВЕЦКИЙ/С.ПЕРКОВЦЫ"
"7322088001","С","ПЕРКІВЦІ","ПЕРКОВЦЫ"
"7322088002","С","ПУТРИНЕ","ПУТРИНО"
"7322088400",,"ПОДВІР'ЇВСЬКА/С.ПОДВІР'ЇВКА","ПОДВОРЬЕВСКИЙ/С.ПОДВОРЬЕВКА"
"7322088401","С","ПОДВІР'ЇВКА","ПОДВОРЬЕВКА"
"7322088800",,"РОСОШАНІВСЬКА/С.РОСОШАНИ","РОСОШАНОВСКИЙ/С.РОСОШАНЫ"
"7322088801","С","РОСОШАНИ","РОСОШАНЫ"
"7322500000",,"КІЦМАНСЬКИЙ РАЙОН/М.КІЦМАНЬ","КИЦМАНСКИЙ РАЙОН/Г.КИЦМАНЬ"
"7322510000",,"МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ КІЦМАНСЬКОГО Р-НУ","ГОРОДА РАЙОННОГО ПОДЧИНЕНИЯ КИЦМАНСКОГО Р-НА"
"7322510100","М","КІЦМАНЬ","КИЦМАНЬ"
"7322555000",,"СЕЛИЩА МІСЬКОГО ТИПУ КІЦМАНСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА КИЦМАНСКОГО Р-НА"
"7322555400","Т","ЛУЖАНИ","ЛУЖАНЫ"
"7322555700","Т","НЕПОЛОКІВЦІ","НЕПОЛОКОВЦЫ"
"7322555701","С","П'ЯДИКІВЦІ","ПЯДИКОВЦЫ"
"7322580000",,"СІЛЬРАДИ КІЦМАНСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ КИЦМАНСКОГО Р-НА"
"7322580500",,"БЕРЕГОМЕТСЬКА/С.БЕРЕГОМЕТ","БЕРЕГОМЕТСКИЙ/С.БЕРЕГОМЕТ"
"7322580501","С","БЕРЕГОМЕТ","БЕРЕГОМЕТ"
"7322580503","С","КЛОКІЧКА","КЛОКОЧКА"
"7322580504","С","РЕВАКІВЦІ","РЕВАКОВЦЫ"
"7322580700",,"БІЛЯНСЬКА/С.БІЛА","БЕЛЯНСКИЙ/С.БЕЛАЯ"
"7322580701","С","БІЛА","БЕЛАЯ"
"7322581000",,"БОРІВЕЦЬКА/С.БОРІВЦІ","БОРОВЕЦКИЙ/С.БОРОВЦЫ"
"7322581001","С","БОРІВЦІ","БОРОВЦЫ"
"7322581500",,"БРУСНИЦЬКА/С.БРУСНИЦЯ","БРУСНИЦКИЙ/С.БРУСНИЦА"
"7322581501","С","БРУСНИЦЯ","БРУСНИЦА"
"7322581502","С","ДІБРОВА","ДИБРОВА"
"7322581503","С","ЗЕЛЕНІВ","ЗЕЛЕНОВ"
"7322581504","С","КАЛЬНІВЦІ","КАЛЬНОВЦЫ"
"7322581505","С","ОСТРА","ОСТРА"
"7322581507","С","ЧОРТОРИЯ","ЧЕРТОРИЯ"
"7322582000",,"ВАЛЯВСЬКА/С.ВАЛЯВА","ВАЛЯВСКИЙ/С.ВАЛЯВА"
"7322582001","С","ВАЛЯВА","ВАЛЯВА"
"7322582500",,"ВЕРХНЬОСТАНОВЕЦЬКА/С.ВЕРХНІ СТАНІВЦІ","ВЕРХНЕСТАНОВЕЦКИЙ/С.ВЕРХНИЕ СТАНОВЦЫ"
"7322582501","С","ВЕРХНІ СТАНІВЦІ","ВЕРХНИЕ СТАНОВЦЫ"
"7322582600",,"ГЛИНИЦЬКА/С.ГЛИНИЦЯ","ГЛИННИЦКИЙ/С.ГЛИННИЦА"
"7322582601","С","ГЛИНИЦЯ","ГЛИННИЦА"
"7322582603","С","КОРОСТУВАТА","КОРОСТОВАТА"
"7322582800",,"ДАВИДІВСЬКА/С.ДАВИДІВЦІ","ДАВЫДОВСКИЙ/С.ДАВЫДОВЦЫ"
"7322582801","С","ДАВИДІВЦІ","ДАВЫДОВЦЫ"
"7322583000",,"ДРАЧИНЕЦЬКА/С.ДРАЧИНЦІ","ДРАЧИНЕЦКИЙ/С.ДРАЧИНЦЫ"
"7322583001","С","ДРАЧИНЦІ","ДРАЧИНЦЫ"
"7322583004","С","НОВІ ДРАЧИНЦІ","НОВЫЕ ДРАЧИНЦЫ"
"7322583200",,"ДУБІВЕЦЬКА/С.ДУБІВЦІ","ДУБОВЕЦКИЙ/С.ДУБОВЦЫ"
"7322583201","С","ДУБІВЦІ","ДУБОВЦЫ"
"7322583500",,"ІВАНКОВЕЦЬКА/С.ІВАНКІВЦІ","ИВАНКОВЕЦКИЙ/С.ИВАНКОВЦЫ"
"7322583501","С","ІВАНКІВЦІ","ИВАНКОВЦЫ"
"7322583502","С","ГАВРИЛІВЦІ","ГАВРИЛОВЦЫ"
"7322584000",,"КИСЕЛІВСЬКА/С.КИСЕЛІВ","КИСЕЛЕВСКИЙ/С.КИСЕЛЕВ"
"7322584001","С","КИСЕЛІВ","КИСЕЛЕВ"
"7322584500",,"КЛІВОДИНСЬКА/С.КЛІВОДИН","КЛИВОДИНСКИЙ/С.КЛИВОДИН"
"7322584501","С","КЛІВОДИН","КЛИВОДИН"
"7322585000",,"ЛАШКІВСЬКА/С.ЛАШКІВКА","ЛАШКОВСКИЙ/С.ЛАШКОВКА"
"7322585001","С","ЛАШКІВКА","ЛАШКОВКА"
"7322585002","С","ВИТИЛІВКА","ВИТИЛЕВКА"
"7322585500",,"МАЛЯТИНЕЦЬКА/С.МАЛЯТИНЦІ","МАЛЯТИНЕЦКИЙ/С.МАЛЯТИНЦЫ"
"7322585501","С","МАЛЯТИНЦІ","МАЛЯТИНЦЫ"
"7322586000",,"НИЖНЬОСТАНОВЕЦЬКА/С.НИЖНІ СТАНІВЦІ","НИЖНЕСТАНОВЕЦКИЙ/С.НИЖНИЕ СТАНОВЦЫ"
"7322586001","С","НИЖНІ СТАНІВЦІ","НИЖНИЕ СТАНОВЦЫ"
"7322586002","С","БРУСЕНКИ","БРУСЕНКИ"
"7322586003","С","ВИНОГРАД","ВИНОГРАД"
"7322586500",,"МАМАЇВСЬКА/С.МАМАЇВЦІ","МАМАЕВСКИЙ/С.МАМАЕВЦЫ"
"7322586501","С","МАМАЇВЦІ","МАМАЕВЦЫ"
"7322586502","С","НОВИЙ КИСЕЛІВ","НОВЫЙ КИСЕЛЕВ"
"7322587000",,"ОРШОВЕЦЬКА/С.ОРШІВЦІ","ОРШЕВЕЦКИЙ/С.ОРШЕВЦЫ"
"7322587001","С","ОРШІВЦІ","ОРШЕВЦЫ"
"7322587500",,"ОШИХЛІБСЬКА/С.ОШИХЛІБИ","ОШИХЛЕБСКИЙ/С.ОШИХЛЕБЫ"
"7322587501","С","ОШИХЛІБИ","ОШИХЛЕБЫ"
"7322588000",,"СТАВЧАНСЬКА/С.СТАВЧАНИ","СТАВЧАНСКИЙ/С.СТАВЧАНЫ"
"7322588001","С","СТАВЧАНИ","СТАВЧАНЫ"
"7322588500",,"СТРІЛЕЦЬКО-КУТСЬКА/С.СТРІЛЕЦЬКИЙ КУТ","СТРЕЛЕЦКО-КУТСКИЙ/С.СТРЕЛЕЦКИЙ КУТ"
"7322588501","С","СТРІЛЕЦЬКИЙ КУТ","СТРЕЛЕЦКИЙ КУТ"
"7322588503","С","БУРДЕЙ","БУРДЕЙ"
"7322588504","С","РЕВНЕ","РЕВНО"
"7322588600",,"СУХОВЕРХІВСЬКА/С.СУХОВЕРХІВ","СУХОВЕРХОВСКИЙ/С.СУХОВЕРХОВ"
"7322588601","С","СУХОВЕРХІВ","СУХОВЕРХОВ"
"7322588700",,"ХЛІВИЩЕНСЬКА/С.ХЛІВИЩЕ","ХЛЕВИЩЕНСКИЙ/С.ХЛЕВИЩЕ"
"7322588701","С","ХЛІВИЩЕ","ХЛЕВИЩЕ"
"7322589000",,"ШИПИНЕЦЬКА/С.ШИПИНЦІ","ШИПИНЕЦКИЙ/С.ШИПИНЦЫ"
"7322589001","С","ШИПИНЦІ","ШИПИНЦЫ"
"7322589500",,"ШИШКОВЕЦЬКА/С.ШИШКІВЦІ","ШИШКОВЕЦКИЙ/С.ШИШКОВЦЫ"
"7322589501","С","ШИШКІВЦІ","ШИШКОВЦЫ"
"7322589700",,"ЮЖИНЕЦЬКА/С.ЮЖИНЕЦЬ","ЮЖИНЕЦКИЙ/С.ЮЖИНЕЦ"
"7322589701","С","ЮЖИНЕЦЬ","ЮЖИНЕЦ"
"7323000000",,"НОВОСЕЛИЦЬКИЙ РАЙОН/М.НОВОСЕЛИЦЯ","НОВОСЕЛИЦКИЙ РАЙОН/Г.НОВОСЕЛИЦА"
"7323010000",,"МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ НОВОСЕЛИЦЬКОГО Р-НУ","ГОРОДА РАЙОННОГО ПОДЧИНЕНИЯ НОВОСЕЛИЦКОГО Р-НА"
"7323010100","М","НОВОСЕЛИЦЯ","НОВОСЕЛИЦА"
"7323080000",,"СІЛЬРАДИ НОВОСЕЛИЦЬКОГО Р-НУ","СЕЛЬСОВЕТЫ НОВОСЕЛИЦКОГО Р-НА"
"7323080400",,"БАЛКОВЕЦЬКА/С.БАЛКІВЦІ","БАЛКОВЕЦКИЙ/С.БАЛКОВЦЫ"
"7323080401","С","БАЛКІВЦІ","БАЛКОВЦЫ"
"7323080600",,"БЕРЕСТЯНСЬКА/С.БЕРЕСТЯ","БЕРЕСТЯНСКИЙ/С.БЕРЕСТЯ"
"7323080601","С","БЕРЕСТЯ","БЕРЕСТЯ"
"7323080800",,"БОЯНСЬКА/С.БОЯНИ","БОЯНСКИЙ/С.БОЯНЫ"
"7323080801","С","БОЯНИ","БОЯНЫ"
"7323080803","С","ГАЙ","ГАЙ"
"7323081200",,"ВАНЧИКОВЕЦЬКА/С.ВАНЧИКІВЦІ","ВАНЧИКОВЕЦКИЙ/С.ВАНЧИКОВЦЫ"
"7323081201","С","ВАНЧИКІВЦІ","ВАНЧИКОВЦЫ"
"7323081202","С","ВАНЧИНЕЦЬ","ВАНЧИНЕЦ"
"7323081600",,"ДИНОВЕЦЬКА/С.ДИНІВЦІ","ДИНОВЕЦКИЙ/С.ДИНОВЦЫ"
"7323081601","С","ДИНІВЦІ","ДИНОВЦЫ"
"7323081800",,"ДОВЖОЦЬКА/С.ДОВЖОК","ДОЛЖОКСКИЙ/С.ДОЛЖОК"
"7323081801","С","ДОВЖОК","ДОЛЖОК"
"7323082000",,"ДРАНИЦЬКА/С.ДРАНИЦЯ","ДРАНИЦКИЙ/С.ДРАНИЦА"
"7323082001","С","ДРАНИЦЯ","ДРАНИЦА"
"7323082002","С","НЕГРИНЦІ","НЕГРИНЦЫ"
"7323082200",,"ЖИЛІВСЬКА/С.ЖИЛІВКА","ЖИЛОВСКИЙ/С.ЖИЛОВКА"
"7323082201","С","ЖИЛІВКА","ЖИЛОВКА"
"7323082400",,"ЗЕЛЕНОГАЙСЬКА/С.ЗЕЛЕНИЙ ГАЙ","ЗЕЛЕНОГАЙСКИЙ/С.ЗЕЛЕНЫЙ ГАЙ"
"7323082401","С","ЗЕЛЕНИЙ ГАЙ","ЗЕЛЕНЫЙ ГАЙ"
"7323082800",,"КОСТИЧАНІВСЬКА/С.КОСТИЧАНИ","КОСТИЧАНОВСКИЙ/С.КОСТИЧАНЫ"
"7323082801","С","КОСТИЧАНИ","КОСТИЧАНЫ"
"7323082802","С","ДУМЕНИ","ДУМЕНЫ"
"7323082803","С","НОВОІВАНКІВЦІ","НОВОИВАНКОВЦЫ"
"7323083200",,"КОТЕЛІВСЬКА/С.КОТЕЛЕВЕ","КОТЕЛЕВСКИЙ/С.КОТЕЛЕВО"
"7323083201","С","КОТЕЛЕВЕ","КОТЕЛЕВО"
"7323083600",,"МАГАЛЬСЬКА/С.МАГАЛА","МАГАЛЬСКИЙ/С.МАГАЛА"
"7323083601","С","МАГАЛА","МАГАЛА"
"7323083602","С","БУДА","БУДА"
"7323083603","С","ОСТРИЦЯ","ОСТРИЦА"
"7323083605","С","ПРУТ","ПРУТ"
"7323084000",,"МАЛИНІВСЬКА/С.МАЛИНІВКА","МАЛИНОВСКИЙ/С.МАЛИНОВКА"
"7323084001","С","МАЛИНІВКА","МАЛИНОВКА"
"7323084300",,"МАМАЛИГІВСЬКА/С.МАМАЛИГА","МАМАЛЫГОВСКИЙ/С.МАМАЛЫГА"
"7323084301","С","МАМАЛИГА","МАМАЛЫГА"
"7323084302","С","КОШУЛЯНИ","КОШУЛЯНЫ"
"7323084700",,"МАРШИНЕЦЬКА/С.МАРШИНЦІ","МАРШИНЕЦКИЙ/С.МАРШИНЦЫ"
"7323084701","С","МАРШИНЦІ","МАРШИНЦЫ"
"7323085100",,"НЕСВОЯНСЬКА/С.НЕСВОЯ","НЕСВОЯНСКИЙ/С.НЕСВОЯ"
"7323085101","С","НЕСВОЯ","НЕСВОЯ"
"7323085500",,"ПОДВІРНЕНСЬКА/С.ПОДВІРНЕ","ПОДВОРНЕНСКИЙ/С.ПОДВОРНОЕ"
"7323085501","С","ПОДВІРНЕ","ПОДВОРНОЕ"
"7323085700",,"ПРИПРУТСЬКА/С.ПРИПРУТТЯ","ПРИПРУТСКИЙ/С.ПРИПРУТЬЕ"
"7323085701","С","ПРИПРУТТЯ","ПРИПРУТЬЕ"
"7323085703","С","БОЯНІВКА","БОЯНОВКА"
"7323085900",,"РОКИТНЕНСЬКА/С.РОКИТНЕ","РОКИТНЕНСКИЙ/С.РОКИТНОЕ"
"7323085901","С","РОКИТНЕ","РОКИТНОЕ"
"7323086300",,"РІДКІВСЬКА/С.РІДКІВЦІ","РЕДКОВСКИЙ/С.РЕДКОВЦЫ"
"7323086301","С","РІДКІВЦІ","РЕДКОВЦЫ"
"7323086700",,"РИНГАЦЬКА/С.РИНГАЧ","РЫНГАЧСКИЙ/С.РЫНГАЧ"
"7323086701","С","РИНГАЧ","РЫНГАЧ"
"7323086703","С","ШИШКІВЦІ","ШИШКОВЦЫ"
"7323087100",,"СЛОБІДСЬКА/С.СЛОБОДА","СЛОБОДСКИЙ/С.СЛОБОДА"
"7323087101","С","СЛОБОДА","СЛОБОДА"
"7323087102","С","РЕВКІВЦІ","РЕВКОВЦЫ"
"7323087500",,"СТАЛЬНІВСЬКА/С.СТАЛЬНІВЦІ","СТАЛЬНОВСКИЙ/С.СТАЛЬНОВЦЫ"
"7323087501","С","СТАЛЬНІВЦІ","СТАЛЬНОВЦЫ"
"7323087900",,"СТРОЇНЕЦЬКА/С.СТРОЇНЦІ","СТРОИНЕЦКИЙ/С.СТРОИНЦЫ"
"7323087901","С","СТРОЇНЦІ","СТРОИНЦЫ"
"7323088300",,"ТАРАСОВЕЦЬКА/С.ТАРАСІВЦІ","ТАРАСОВЕЦКИЙ/С.ТАРАСОВЦЫ"
"7323088301","С","ТАРАСІВЦІ","ТАРАСОВЦЫ"
"7323088600",,"ТОПОРІВСЬКА/С.ТОПОРІВЦІ","ТОПОРОВСКИЙ/С.ТОПОРОВЦЫ"
"7323088601","С","ТОПОРІВЦІ","ТОПОРОВЦЫ"
"7323089000",,"ФОРОСНЯНСЬКА/С.ФОРОСНА","ФОРОСНЯНСКИЙ/С.ФОРОСНА"
"7323089001","С","ФОРОСНА","ФОРОСНА"
"7323089300",,"ЧЕРЛЕНІВСЬКА/С.ЧЕРЛЕНІВКА","ЧЕРЛЕНОВСКИЙ/С.ЧЕРЛЕНОВКА"
"7323089301","С","ЧЕРЛЕНІВКА","ЧЕРЛЕНОВКА"
"7323089700",,"ЧОРНІВСЬКА/С.ЧОРНІВКА","ЧЕРНОВСКИЙ/С.ЧЕРНОВКА"
"7323089701","С","ЧОРНІВКА","ЧЕРНОВКА"
"7323089900",,"ЩЕРБИНЕЦЬКА/С.ЩЕРБИНЦІ","ЩЕРБИНЕЦКИЙ/С.ЩЕРБИНЦЫ"
"7323089901","С","ЩЕРБИНЦІ","ЩЕРБИНЦЫ"
"7323500000",,"ПУТИЛЬСЬКИЙ РАЙОН/СМТ ПУТИЛА","ПУТИЛЬСКИЙ РАЙОН/ПГТ ПУТИЛА"
"7323555000",,"СЕЛИЩА МІСЬКОГО ТИПУ ПУТИЛЬСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА ПУТИЛЬСКОГО Р-НА"
"7323555100","Т","ПУТИЛА","ПУТИЛА"
"7323555101","С","ПАРКУЛИНА","ПАРКУЛИНА"
"7323555102","С","РИЖА","РЫЖА"
"7323555103","С","ТОРАКИ","ТОРАКИ"
"7323580000",,"СІЛЬРАДИ ПУТИЛЬСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ ПУТИЛЬСКОГО Р-НА"
"7323580500",,"ДИХТИНЕЦЬКА/С.ДИХТИНЕЦЬ","ДИХТИНЕЦКИЙ/С.ДИХТИНЕЦ"
"7323580501","С","ДИХТИНЕЦЬ","ДИХТИНЕЦ"
"7323580502","С","ГРЕБЛИНА","ГРЕБЛИНА"
"7323580503","С","ЗАМОГИЛА","ЗАМОГИЛА"
"7323580504","С","МАЛИЙ ДИХТИНЕЦЬ","МАЛЫЙ ДИХТИНЕЦ"
"7323581000",,"ДОВГОПІЛЬСЬКА/С.ДОВГОПІЛЛЯ","ДОЛГОПОЛЬСКИЙ/С.ДОЛГОПОЛЬЕ"
"7323581001","С","ДОВГОПІЛЛЯ","ДОЛГОПОЛЬЕ"
"7323581002","С","ГРЕБЛИНА","ГРЕБЛИНА"
"7323581003","С","ПЛИТА","ПЛИТА"
"7323581004","С","СТЕБНІ","СТЕБНИ"
"7323581500",,"КИСЕЛИЦЬКА/С.КИСЕЛИЦІ","КИСЕЛИЦКИЙ/С.КИСЕЛИЦЫ"
"7323581501","С","КИСЕЛИЦІ","КИСЕЛИЦЫ"
"7323581502","С","ГРОБИЩЕ","ГРОБИЩЕ"
"7323581503","С","ПЛОЩІ","ПЛОЩИ"
"7323581504","С","ПОЛЯКІВСЬКЕ","ПОЛЯКОВСКОЕ"
"7323581505","С","СОКОЛІЙ","СОКОЛИЙ"
"7323582000",,"КОНЯТИНСЬКА/С.КОНЯТИН","КОНЯТИНСКИЙ/С.КОНЯТИН"
"7323582001","С","КОНЯТИН","КОНЯТИН"
"7323582002","С","ВЕЛИКИЙ ЛИПОВЕЦЬ","ВЕЛИКИЙ ЛИПОВЕЦ"
"7323582003","С","САМАКОВА","САМАКОВА"
"7323582500",,"МАРИНИЧІВСЬКА/С.МАРИНИЧІ","МАРИНИЧЕВСКИЙ/С.МАРИНИЧИ"
"7323582501","С","МАРИНИЧІ","МАРИНИЧИ"
"7323582502","С","БИСКІВ","БИСКОВ"
"7323582503","С","ПЕТРАШІ","ПЕТРАШИ"
"7323583000",,"ПЛОСКІВСЬКА/С.ПЛОСКА","ПЛОСКОВСКИЙ/С.ПЛОСКАЯ"
"7323583001","С","ПЛОСКА","ПЛОСКАЯ"
"7323583002","С","ЛУСТУН","ЛУСТУН"
"7323583500",,"ПІДЗАХАРИЧІВСЬКА/С.ПІДЗАХАРИЧІ","ПОДЗАХАРЫЧЕВСКИЙ/С.ПОДЗАХАРЫЧИ"
"7323583501","С","ПІДЗАХАРИЧІ","ПОДЗАХАРЫЧИ"
"7323583502","С","МІЖБРОДИ","МЕЖБРОДЫ"
"7323583503","С","ХОРОВИ","ХОРОВЫ"
"7323584000",,"РОЗТОКІВСЬКА/С.РОЗТОКИ","РОСТОКОВСКИЙ/С.РОСТОКИ"
"7323584001","С","РОЗТОКИ","РОСТОКИ"
"7323584002","С","ОКОЛЕНА","ОКОЛЕНА"
"7323584003","С","ТОВАРНИЦЯ","ТОВАРНИЦА"
"7323584004","С","ЯМИ","ЯМЫ"
"7323584500",,"СЕЛЯТИНСЬКА/С.СЕЛЯТИН","СЕЛЯТИНСКИЙ/С.СЕЛЯТИН"
"7323584501","С","СЕЛЯТИН","СЕЛЯТИН"
"7323584502","С","ГАЛИЦІВКА","ГАЛИЦИВКА"
"7323584503","С","РУСЬКА","РУССКАЯ"
"7323585000",,"СЕРГІЇВСЬКА/С.СЕРГІЇ","СЕРГИЕВСКИЙ/С.СЕРГИИ"
"7323585001","С","СЕРГІЇ","СЕРГИИ"
"7323585002","С","ВИПЧИНА","ВЫПЧИНА"
"7323585003","С","РИПЕНЬ","РЫПЕНЬ"
"7323585004","С","ТЕСНИЦЬКА","ТЕСНИЦКАЯ"
"7323585005","С","ФОШКИ","ФОШКИ"
"7323585500",,"УСТЬ-ПУТИЛЬСЬКА/С.УСТЬ-ПУТИЛА","УСТЬ-ПУТИЛЬСКИЙ/С.УСТЬ-ПУТИЛА"
"7323585501","С","УСТЬ-ПУТИЛА","УСТЬ-ПУТИЛА"
"7323585502","С","БІСКІВ","БИСКОВ"
"7323585503","С","ШПЕТКИ","ШПЕТКИ"
"7323586000",,"ШЕПІТСЬКА/С.ШЕПІТ","ШЕПОТСКИЙ/С.ШЕПОТ"
"7323586001","С","ШЕПІТ","ШЕПОТ"
"7323586002","С","АНДРЕКІВСЬКЕ","АНДРЕКОВСКОЕ"
"7323586003","С","ВЕРХНІЙ ЯЛОВЕЦЬ","ВЕРХНИЙ ЯЛОВЕЦ"
"7323586004","С","НИЖНІЙ ЯЛОВЕЦЬ","НИЖНИЙ ЯЛОВЕЦ"
"7323586005","С","САРАТА","САРАТА"
"7323586500",,"ЯБЛУНИЦЬКА/С.ЯБЛУНИЦЯ","ЯБЛОНИЦКИЙ/С.ЯБЛОНИЦА"
"7323586501","С","ЯБЛУНИЦЯ","ЯБЛОНИЦА"
"7323586502","С","ГОЛОШИНА","ГОЛОШИНА"
"7323586503","С","ПЛАЙ","ПЛАЙ"
"7324000000",,"СОКИРЯНСЬКИЙ РАЙОН/М.СОКИРЯНИ","СОКИРЯНСКИЙ РАЙОН/Г.СОКИРЯНЫ"
"7324010000",,"МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ СОКИРЯНСЬКОГО Р-НУ","ГОРОДА РАЙОННОГО ПОДЧИНЕНИЯ СОКИРЯНСКОГО Р-НА"
"7324010100","М","СОКИРЯНИ","СОКИРЯНЫ"
"7324080000",,"СІЛЬРАДИ СОКИРЯНСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ СОКИРЯНСКОГО Р-НА"
"7324080500",,"ОЛЕКСІЇВСЬКА/С.ОЛЕКСІЇВКА","АЛЕКСЕЕВСКИЙ/С.АЛЕКСЕЕВКА"
"7324080501","С","ОЛЕКСІЇВКА","АЛЕКСЕЕВКА"
"7324080502","С","НОВООЛЕКСІЇВКА","НОВОАЛЕКСЕЕВКА"
"7324081000",,"БІЛОУСІВСЬКА/С.БІЛОУСІВКА","БЕЛОУСОВСКИЙ/С.БЕЛОУСОВКА"
"7324081001","С","БІЛОУСІВКА","БЕЛОУСОВКА"
"7324081500",,"ВАСИЛІВСЬКА/С.ВАСИЛІВКА","ВАСИЛЕВСКИЙ/С.ВАСИЛЕВКА"
"7324081501","С","ВАСИЛІВКА","ВАСИЛЕВКА"
"7324081502","С","РОЗКОПИНЦІ","РАСКОПИНЦЫ"
"7324082000",,"ВАШКОВЕЦЬКА/С.ВАШКІВЦІ","ВАШКОВЕЦКИЙ/С.ВАШКОВЦЫ"
"7324082001","С","ВАШКІВЦІ","ВАШКОВЦЫ"
"7324082002","С","НОВА СЛОБОДА","НОВАЯ СЛОБОДА"
"7324082500",,"ВІТРЯНСЬКА/С.ВІТРЯНКА","ВЕТРЯНСКИЙ/С.ВЕТРЯНКА"
"7324082501","С","ВІТРЯНКА","ВЕТРЯНКА"
"7324083000",,"ВОЛОШКІВСЬКА/С.ВОЛОШКОВЕ","ВОЛОШКОВСКИЙ/С.ВОЛОШКОВО"
"7324083001","С","ВОЛОШКОВЕ","ВОЛОШКОВО"
"7324083500",,"ГВІЗДОВЕЦЬКА/С.ГВІЗДІВЦІ","ГВОЗДОВЕЦКИЙ/С.ГВОЗДОВЦЫ"
"7324083501","С","ГВІЗДІВЦІ","ГВОЗДОВЦЫ"
"7324084000",,"ГРУБНЯНСЬКА/С.ГРУБНА","ГРУБНЯНСКИЙ/С.ГРУБНА"
